time,transforms_0,transforms_1,transforms_2,transforms_3,transforms_4,transforms_5,transforms_6
2024/12/16 14:48:24.872516146,"{'header': {'stamp': {'secs': 1734091249, 'nsecs': 800094029}, 'frame_id': 'leg3gripper1'}, 'child_frame_id': 'leg3link2', 'transform': {'translation': {'x': 0.0, 'y': 0.0, 'z': 0.05}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.0010271116285575706, 'w': 0.999999472520712}}}","{'header': {'stamp': {'secs': 1734091249, 'nsecs': 800094029}, 'frame_id': 'leg3link2'}, 'child_frame_id': 'leg3link3', 'transform': {'translation': {'x': 0.00016471, 'y': -0.090096, 'z': 0.16854}, 'rotation': {'x': 0.0, 'y': 0.7062436890800213, 'z': 0.0, 'w': 0.7079688210893487}}}","{'header': {'stamp': {'secs': 1734091249, 'nsecs': 800094029}, 'frame_id': 'leg3link3'}, 'child_frame_id': 'leg3link4', 'transform': {'translation': {'x': 0.0, 'y': -0.058547, 'z': 0.071444}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.7057102358257837, 'w': 0.708500573782913}}}","{'header': {'stamp': {'secs': 1734091249, 'nsecs': 800094029}, 'frame_id': 'leg3link4'}, 'child_frame_id': 'leg3link5', 'transform': {'translation': {'x': 0.023568, 'y': 0.0, 'z': 0.42835}, 'rotation': {'x': -0.7060982415525561, 'y': 0.0, 'z': 0.0, 'w': 0.70811388439741}}}","{'header': {'stamp': {'secs': 1734091249, 'nsecs': 800094029}, 'frame_id': 'leg3link5'}, 'child_frame_id': 'leg3link6', 'transform': {'translation': {'x': 0.12633, 'y': 0.0, 'z': 0.42742}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.7074061959010722, 'w': 0.7068072396352304}}}","{'header': {'stamp': {'secs': 1734091249, 'nsecs': 800094029}, 'frame_id': 'leg3link6'}, 'child_frame_id': 'leg3link7', 'transform': {'translation': {'x': 0.0, 'y': 0.12032, 'z': 0.072384}, 'rotation': {'x': 0.0, 'y': -0.7067767416586953, 'z': 0.0, 'w': 0.7074366667414956}}}","{'header': {'stamp': {'secs': 1734091249, 'nsecs': 800094029}, 'frame_id': 'leg3link7'}, 'child_frame_id': 'leg3link8', 'transform': {'translation': {'x': 0.0, 'y': 0.029477, 'z': 0.15419}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': -0.00027389647901567465, 'w': 0.9999999624903587}}}"
2024/12/16 14:48:24.974946834,"{'header': {'stamp': {'secs': 1734091249, 'nsecs': 901999940}, 'frame_id': 'leg3gripper1'}, 'child_frame_id': 'leg3link2', 'transform': {'translation': {'x': 0.0, 'y': 0.0, 'z': 0.05}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.0010271116285575706, 'w': 0.999999472520712}}}","{'header': {'stamp': {'secs': 1734091249, 'nsecs': 901999940}, 'frame_id': 'leg3link2'}, 'child_frame_id': 'leg3link3', 'transform': {'translation': {'x': 0.00016471, 'y': -0.090096, 'z': 0.16854}, 'rotation': {'x': 0.0, 'y': 0.7062436890800213, 'z': 0.0, 'w': 0.7079688210893487}}}","{'header': {'stamp': {'secs': 1734091249, 'nsecs': 901999940}, 'frame_id': 'leg3link3'}, 'child_frame_id': 'leg3link4', 'transform': {'translation': {'x': 0.0, 'y': -0.058547, 'z': 0.071444}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.7057102358257837, 'w': 0.708500573782913}}}","{'header': {'stamp': {'secs': 1734091249, 'nsecs': 901999940}, 'frame_id': 'leg3link4'}, 'child_frame_id': 'leg3link5', 'transform': {'translation': {'x': 0.023568, 'y': 0.0, 'z': 0.42835}, 'rotation': {'x': -0.7060982415525561, 'y': 0.0, 'z': 0.0, 'w': 0.70811388439741}}}","{'header': {'stamp': {'secs': 1734091249, 'nsecs': 901999940}, 'frame_id': 'leg3link5'}, 'child_frame_id': 'leg3link6', 'transform': {'translation': {'x': 0.12633, 'y': 0.0, 'z': 0.42742}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.7074061959010722, 'w': 0.7068072396352304}}}","{'header': {'stamp': {'secs': 1734091249, 'nsecs': 901999940}, 'frame_id': 'leg3link6'}, 'child_frame_id': 'leg3link7', 'transform': {'translation': {'x': 0.0, 'y': 0.12032, 'z': 0.072384}, 'rotation': {'x': 0.0, 'y': -0.7067767416586953, 'z': 0.0, 'w': 0.7074366667414956}}}","{'header': {'stamp': {'secs': 1734091249, 'nsecs': 901999940}, 'frame_id': 'leg3link7'}, 'child_frame_id': 'leg3link8', 'transform': {'translation': {'x': 0.0, 'y': 0.029477, 'z': 0.15419}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': -0.00027389647901567465, 'w': 0.9999999624903587}}}"
2024/12/16 14:48:25.71252797,"{'header': {'stamp': {'secs': 1734091249, 'nsecs': 999564254}, 'frame_id': 'leg3gripper1'}, 'child_frame_id': 'leg3link2', 'transform': {'translation': {'x': 0.0, 'y': 0.0, 'z': 0.05}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.0010271116285575706, 'w': 0.999999472520712}}}","{'header': {'stamp': {'secs': 1734091249, 'nsecs': 999564254}, 'frame_id': 'leg3link2'}, 'child_frame_id': 'leg3link3', 'transform': {'translation': {'x': 0.00016471, 'y': -0.090096, 'z': 0.16854}, 'rotation': {'x': 0.0, 'y': 0.7062436890800213, 'z': 0.0, 'w': 0.7079688210893487}}}","{'header': {'stamp': {'secs': 1734091249, 'nsecs': 999564254}, 'frame_id': 'leg3link3'}, 'child_frame_id': 'leg3link4', 'transform': {'translation': {'x': 0.0, 'y': -0.058547, 'z': 0.071444}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.7057102358257837, 'w': 0.708500573782913}}}","{'header': {'stamp': {'secs': 1734091249, 'nsecs': 999564254}, 'frame_id': 'leg3link4'}, 'child_frame_id': 'leg3link5', 'transform': {'translation': {'x': 0.023568, 'y': 0.0, 'z': 0.42835}, 'rotation': {'x': -0.7060982415525561, 'y': 0.0, 'z': 0.0, 'w': 0.70811388439741}}}","{'header': {'stamp': {'secs': 1734091249, 'nsecs': 999564254}, 'frame_id': 'leg3link5'}, 'child_frame_id': 'leg3link6', 'transform': {'translation': {'x': 0.12633, 'y': 0.0, 'z': 0.42742}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.7074061959010722, 'w': 0.7068072396352304}}}","{'header': {'stamp': {'secs': 1734091249, 'nsecs': 999564254}, 'frame_id': 'leg3link6'}, 'child_frame_id': 'leg3link7', 'transform': {'translation': {'x': 0.0, 'y': 0.12032, 'z': 0.072384}, 'rotation': {'x': 0.0, 'y': -0.7067767416586953, 'z': 0.0, 'w': 0.7074366667414956}}}","{'header': {'stamp': {'secs': 1734091249, 'nsecs': 999564254}, 'frame_id': 'leg3link7'}, 'child_frame_id': 'leg3link8', 'transform': {'translation': {'x': 0.0, 'y': 0.029477, 'z': 0.15419}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': -0.00027389647901567465, 'w': 0.9999999624903587}}}"
2024/12/16 14:48:25.174741169,"{'header': {'stamp': {'secs': 1734091250, 'nsecs': 101927474}, 'frame_id': 'leg3gripper1'}, 'child_frame_id': 'leg3link2', 'transform': {'translation': {'x': 0.0, 'y': 0.0, 'z': 0.05}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.0010271116285575706, 'w': 0.999999472520712}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 101927474}, 'frame_id': 'leg3link2'}, 'child_frame_id': 'leg3link3', 'transform': {'translation': {'x': 0.00016471, 'y': -0.090096, 'z': 0.16854}, 'rotation': {'x': 0.0, 'y': 0.7062436890800213, 'z': 0.0, 'w': 0.7079688210893487}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 101927474}, 'frame_id': 'leg3link3'}, 'child_frame_id': 'leg3link4', 'transform': {'translation': {'x': 0.0, 'y': -0.058547, 'z': 0.071444}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.7057102358257837, 'w': 0.708500573782913}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 101927474}, 'frame_id': 'leg3link4'}, 'child_frame_id': 'leg3link5', 'transform': {'translation': {'x': 0.023568, 'y': 0.0, 'z': 0.42835}, 'rotation': {'x': -0.7060982415525561, 'y': 0.0, 'z': 0.0, 'w': 0.70811388439741}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 101927474}, 'frame_id': 'leg3link5'}, 'child_frame_id': 'leg3link6', 'transform': {'translation': {'x': 0.12633, 'y': 0.0, 'z': 0.42742}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.7074061959010722, 'w': 0.7068072396352304}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 101927474}, 'frame_id': 'leg3link6'}, 'child_frame_id': 'leg3link7', 'transform': {'translation': {'x': 0.0, 'y': 0.12032, 'z': 0.072384}, 'rotation': {'x': 0.0, 'y': -0.7067767416586953, 'z': 0.0, 'w': 0.7074366667414956}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 101927474}, 'frame_id': 'leg3link7'}, 'child_frame_id': 'leg3link8', 'transform': {'translation': {'x': 0.0, 'y': 0.029477, 'z': 0.15419}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': -0.00027389647901567465, 'w': 0.9999999624903587}}}"
2024/12/16 14:48:25.272865183,"{'header': {'stamp': {'secs': 1734091250, 'nsecs': 199979500}, 'frame_id': 'leg3gripper1'}, 'child_frame_id': 'leg3link2', 'transform': {'translation': {'x': 0.0, 'y': 0.0, 'z': 0.05}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.0010271116285575706, 'w': 0.999999472520712}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 199979500}, 'frame_id': 'leg3link2'}, 'child_frame_id': 'leg3link3', 'transform': {'translation': {'x': 0.00016471, 'y': -0.090096, 'z': 0.16854}, 'rotation': {'x': 0.0, 'y': 0.7062436890800213, 'z': 0.0, 'w': 0.7079688210893487}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 199979500}, 'frame_id': 'leg3link3'}, 'child_frame_id': 'leg3link4', 'transform': {'translation': {'x': 0.0, 'y': -0.058547, 'z': 0.071444}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.7057102358257837, 'w': 0.708500573782913}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 199979500}, 'frame_id': 'leg3link4'}, 'child_frame_id': 'leg3link5', 'transform': {'translation': {'x': 0.023568, 'y': 0.0, 'z': 0.42835}, 'rotation': {'x': -0.7060982415525561, 'y': 0.0, 'z': 0.0, 'w': 0.70811388439741}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 199979500}, 'frame_id': 'leg3link5'}, 'child_frame_id': 'leg3link6', 'transform': {'translation': {'x': 0.12633, 'y': 0.0, 'z': 0.42742}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.7074061959010722, 'w': 0.7068072396352304}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 199979500}, 'frame_id': 'leg3link6'}, 'child_frame_id': 'leg3link7', 'transform': {'translation': {'x': 0.0, 'y': 0.12032, 'z': 0.072384}, 'rotation': {'x': 0.0, 'y': -0.7067767416586953, 'z': 0.0, 'w': 0.7074366667414956}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 199979500}, 'frame_id': 'leg3link7'}, 'child_frame_id': 'leg3link8', 'transform': {'translation': {'x': 0.0, 'y': 0.029477, 'z': 0.15419}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': -0.00027389647901567465, 'w': 0.9999999624903587}}}"
2024/12/16 14:48:25.372729544,"{'header': {'stamp': {'secs': 1734091250, 'nsecs': 299996024}, 'frame_id': 'leg3gripper1'}, 'child_frame_id': 'leg3link2', 'transform': {'translation': {'x': 0.0, 'y': 0.0, 'z': 0.05}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.0010271116285575706, 'w': 0.999999472520712}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 299996024}, 'frame_id': 'leg3link2'}, 'child_frame_id': 'leg3link3', 'transform': {'translation': {'x': 0.00016471, 'y': -0.090096, 'z': 0.16854}, 'rotation': {'x': 0.0, 'y': 0.7062436890800213, 'z': 0.0, 'w': 0.7079688210893487}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 299996024}, 'frame_id': 'leg3link3'}, 'child_frame_id': 'leg3link4', 'transform': {'translation': {'x': 0.0, 'y': -0.058547, 'z': 0.071444}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.7057102358257837, 'w': 0.708500573782913}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 299996024}, 'frame_id': 'leg3link4'}, 'child_frame_id': 'leg3link5', 'transform': {'translation': {'x': 0.023568, 'y': 0.0, 'z': 0.42835}, 'rotation': {'x': -0.7060982415525561, 'y': 0.0, 'z': 0.0, 'w': 0.70811388439741}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 299996024}, 'frame_id': 'leg3link5'}, 'child_frame_id': 'leg3link6', 'transform': {'translation': {'x': 0.12633, 'y': 0.0, 'z': 0.42742}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.7074061959010722, 'w': 0.7068072396352304}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 299996024}, 'frame_id': 'leg3link6'}, 'child_frame_id': 'leg3link7', 'transform': {'translation': {'x': 0.0, 'y': 0.12032, 'z': 0.072384}, 'rotation': {'x': 0.0, 'y': -0.7067767416586953, 'z': 0.0, 'w': 0.7074366667414956}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 299996024}, 'frame_id': 'leg3link7'}, 'child_frame_id': 'leg3link8', 'transform': {'translation': {'x': 0.0, 'y': 0.029477, 'z': 0.15419}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': -0.00027389647901567465, 'w': 0.9999999624903587}}}"
2024/12/16 14:48:25.475459189,"{'header': {'stamp': {'secs': 1734091250, 'nsecs': 400157328}, 'frame_id': 'leg3gripper1'}, 'child_frame_id': 'leg3link2', 'transform': {'translation': {'x': 0.0, 'y': 0.0, 'z': 0.05}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.0010271116285575706, 'w': 0.999999472520712}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 400157328}, 'frame_id': 'leg3link2'}, 'child_frame_id': 'leg3link3', 'transform': {'translation': {'x': 0.00016471, 'y': -0.090096, 'z': 0.16854}, 'rotation': {'x': 0.0, 'y': 0.7062436890800213, 'z': 0.0, 'w': 0.7079688210893487}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 400157328}, 'frame_id': 'leg3link3'}, 'child_frame_id': 'leg3link4', 'transform': {'translation': {'x': 0.0, 'y': -0.058547, 'z': 0.071444}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.7057102358257837, 'w': 0.708500573782913}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 400157328}, 'frame_id': 'leg3link4'}, 'child_frame_id': 'leg3link5', 'transform': {'translation': {'x': 0.023568, 'y': 0.0, 'z': 0.42835}, 'rotation': {'x': -0.7060982415525561, 'y': 0.0, 'z': 0.0, 'w': 0.70811388439741}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 400157328}, 'frame_id': 'leg3link5'}, 'child_frame_id': 'leg3link6', 'transform': {'translation': {'x': 0.12633, 'y': 0.0, 'z': 0.42742}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.7074061959010722, 'w': 0.7068072396352304}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 400157328}, 'frame_id': 'leg3link6'}, 'child_frame_id': 'leg3link7', 'transform': {'translation': {'x': 0.0, 'y': 0.12032, 'z': 0.072384}, 'rotation': {'x': 0.0, 'y': -0.7067767416586953, 'z': 0.0, 'w': 0.7074366667414956}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 400157328}, 'frame_id': 'leg3link7'}, 'child_frame_id': 'leg3link8', 'transform': {'translation': {'x': 0.0, 'y': 0.029477, 'z': 0.15419}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': -0.00027389647901567465, 'w': 0.9999999624903587}}}"
2024/12/16 14:48:25.573164480,"{'header': {'stamp': {'secs': 1734091250, 'nsecs': 500830470}, 'frame_id': 'leg3gripper1'}, 'child_frame_id': 'leg3link2', 'transform': {'translation': {'x': 0.0, 'y': 0.0, 'z': 0.05}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.0010271116285575706, 'w': 0.999999472520712}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 500830470}, 'frame_id': 'leg3link2'}, 'child_frame_id': 'leg3link3', 'transform': {'translation': {'x': 0.00016471, 'y': -0.090096, 'z': 0.16854}, 'rotation': {'x': 0.0, 'y': 0.7062436890800213, 'z': 0.0, 'w': 0.7079688210893487}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 500830470}, 'frame_id': 'leg3link3'}, 'child_frame_id': 'leg3link4', 'transform': {'translation': {'x': 0.0, 'y': -0.058547, 'z': 0.071444}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.7057102358257837, 'w': 0.708500573782913}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 500830470}, 'frame_id': 'leg3link4'}, 'child_frame_id': 'leg3link5', 'transform': {'translation': {'x': 0.023568, 'y': 0.0, 'z': 0.42835}, 'rotation': {'x': -0.7060982415525561, 'y': 0.0, 'z': 0.0, 'w': 0.70811388439741}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 500830470}, 'frame_id': 'leg3link5'}, 'child_frame_id': 'leg3link6', 'transform': {'translation': {'x': 0.12633, 'y': 0.0, 'z': 0.42742}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.7074061959010722, 'w': 0.7068072396352304}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 500830470}, 'frame_id': 'leg3link6'}, 'child_frame_id': 'leg3link7', 'transform': {'translation': {'x': 0.0, 'y': 0.12032, 'z': 0.072384}, 'rotation': {'x': 0.0, 'y': -0.7067767416586953, 'z': 0.0, 'w': 0.7074366667414956}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 500830470}, 'frame_id': 'leg3link7'}, 'child_frame_id': 'leg3link8', 'transform': {'translation': {'x': 0.0, 'y': 0.029477, 'z': 0.15419}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': -0.00027389647901567465, 'w': 0.9999999624903587}}}"
2024/12/16 14:48:25.673776982,"{'header': {'stamp': {'secs': 1734091250, 'nsecs': 600056063}, 'frame_id': 'leg3gripper1'}, 'child_frame_id': 'leg3link2', 'transform': {'translation': {'x': 0.0, 'y': 0.0, 'z': 0.05}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.0010271116285575706, 'w': 0.999999472520712}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 600056063}, 'frame_id': 'leg3link2'}, 'child_frame_id': 'leg3link3', 'transform': {'translation': {'x': 0.00016471, 'y': -0.090096, 'z': 0.16854}, 'rotation': {'x': 0.0, 'y': 0.7062436890800213, 'z': 0.0, 'w': 0.7079688210893487}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 600056063}, 'frame_id': 'leg3link3'}, 'child_frame_id': 'leg3link4', 'transform': {'translation': {'x': 0.0, 'y': -0.058547, 'z': 0.071444}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.7057102358257837, 'w': 0.708500573782913}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 600056063}, 'frame_id': 'leg3link4'}, 'child_frame_id': 'leg3link5', 'transform': {'translation': {'x': 0.023568, 'y': 0.0, 'z': 0.42835}, 'rotation': {'x': -0.7060982415525561, 'y': 0.0, 'z': 0.0, 'w': 0.70811388439741}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 600056063}, 'frame_id': 'leg3link5'}, 'child_frame_id': 'leg3link6', 'transform': {'translation': {'x': 0.12633, 'y': 0.0, 'z': 0.42742}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.7074061959010722, 'w': 0.7068072396352304}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 600056063}, 'frame_id': 'leg3link6'}, 'child_frame_id': 'leg3link7', 'transform': {'translation': {'x': 0.0, 'y': 0.12032, 'z': 0.072384}, 'rotation': {'x': 0.0, 'y': -0.7067767416586953, 'z': 0.0, 'w': 0.7074366667414956}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 600056063}, 'frame_id': 'leg3link7'}, 'child_frame_id': 'leg3link8', 'transform': {'translation': {'x': 0.0, 'y': 0.029477, 'z': 0.15419}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': -0.00027389647901567465, 'w': 0.9999999624903587}}}"
2024/12/16 14:48:25.773006525,"{'header': {'stamp': {'secs': 1734091250, 'nsecs': 700142278}, 'frame_id': 'leg3gripper1'}, 'child_frame_id': 'leg3link2', 'transform': {'translation': {'x': 0.0, 'y': 0.0, 'z': 0.05}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.0010271116285575706, 'w': 0.999999472520712}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 700142278}, 'frame_id': 'leg3link2'}, 'child_frame_id': 'leg3link3', 'transform': {'translation': {'x': 0.00016471, 'y': -0.090096, 'z': 0.16854}, 'rotation': {'x': 0.0, 'y': 0.7062436890800213, 'z': 0.0, 'w': 0.7079688210893487}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 700142278}, 'frame_id': 'leg3link3'}, 'child_frame_id': 'leg3link4', 'transform': {'translation': {'x': 0.0, 'y': -0.058547, 'z': 0.071444}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.7057102358257837, 'w': 0.708500573782913}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 700142278}, 'frame_id': 'leg3link4'}, 'child_frame_id': 'leg3link5', 'transform': {'translation': {'x': 0.023568, 'y': 0.0, 'z': 0.42835}, 'rotation': {'x': -0.7060982415525561, 'y': 0.0, 'z': 0.0, 'w': 0.70811388439741}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 700142278}, 'frame_id': 'leg3link5'}, 'child_frame_id': 'leg3link6', 'transform': {'translation': {'x': 0.12633, 'y': 0.0, 'z': 0.42742}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.7074061959010722, 'w': 0.7068072396352304}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 700142278}, 'frame_id': 'leg3link6'}, 'child_frame_id': 'leg3link7', 'transform': {'translation': {'x': 0.0, 'y': 0.12032, 'z': 0.072384}, 'rotation': {'x': 0.0, 'y': -0.7067767416586953, 'z': 0.0, 'w': 0.7074366667414956}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 700142278}, 'frame_id': 'leg3link7'}, 'child_frame_id': 'leg3link8', 'transform': {'translation': {'x': 0.0, 'y': 0.029477, 'z': 0.15419}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': -0.00027389647901567465, 'w': 0.9999999624903587}}}"
2024/12/16 14:48:25.872639702,"{'header': {'stamp': {'secs': 1734091250, 'nsecs': 800227614}, 'frame_id': 'leg3gripper1'}, 'child_frame_id': 'leg3link2', 'transform': {'translation': {'x': 0.0, 'y': 0.0, 'z': 0.05}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.0010271116285575706, 'w': 0.999999472520712}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 800227614}, 'frame_id': 'leg3link2'}, 'child_frame_id': 'leg3link3', 'transform': {'translation': {'x': 0.00016471, 'y': -0.090096, 'z': 0.16854}, 'rotation': {'x': 0.0, 'y': 0.7062436890800213, 'z': 0.0, 'w': 0.7079688210893487}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 800227614}, 'frame_id': 'leg3link3'}, 'child_frame_id': 'leg3link4', 'transform': {'translation': {'x': 0.0, 'y': -0.058547, 'z': 0.071444}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.7057102358257837, 'w': 0.708500573782913}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 800227614}, 'frame_id': 'leg3link4'}, 'child_frame_id': 'leg3link5', 'transform': {'translation': {'x': 0.023568, 'y': 0.0, 'z': 0.42835}, 'rotation': {'x': -0.7060982415525561, 'y': 0.0, 'z': 0.0, 'w': 0.70811388439741}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 800227614}, 'frame_id': 'leg3link5'}, 'child_frame_id': 'leg3link6', 'transform': {'translation': {'x': 0.12633, 'y': 0.0, 'z': 0.42742}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.7074061959010722, 'w': 0.7068072396352304}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 800227614}, 'frame_id': 'leg3link6'}, 'child_frame_id': 'leg3link7', 'transform': {'translation': {'x': 0.0, 'y': 0.12032, 'z': 0.072384}, 'rotation': {'x': 0.0, 'y': -0.7067767416586953, 'z': 0.0, 'w': 0.7074366667414956}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 800227614}, 'frame_id': 'leg3link7'}, 'child_frame_id': 'leg3link8', 'transform': {'translation': {'x': 0.0, 'y': 0.029477, 'z': 0.15419}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': -0.00027389647901567465, 'w': 0.9999999624903587}}}"
2024/12/16 14:48:25.975291419,"{'header': {'stamp': {'secs': 1734091250, 'nsecs': 901384853}, 'frame_id': 'leg3gripper1'}, 'child_frame_id': 'leg3link2', 'transform': {'translation': {'x': 0.0, 'y': 0.0, 'z': 0.05}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.0010271116285575706, 'w': 0.999999472520712}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 901384853}, 'frame_id': 'leg3link2'}, 'child_frame_id': 'leg3link3', 'transform': {'translation': {'x': 0.00016471, 'y': -0.090096, 'z': 0.16854}, 'rotation': {'x': 0.0, 'y': 0.7062436890800213, 'z': 0.0, 'w': 0.7079688210893487}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 901384853}, 'frame_id': 'leg3link3'}, 'child_frame_id': 'leg3link4', 'transform': {'translation': {'x': 0.0, 'y': -0.058547, 'z': 0.071444}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.7057102358257837, 'w': 0.708500573782913}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 901384853}, 'frame_id': 'leg3link4'}, 'child_frame_id': 'leg3link5', 'transform': {'translation': {'x': 0.023568, 'y': 0.0, 'z': 0.42835}, 'rotation': {'x': -0.7060982415525561, 'y': 0.0, 'z': 0.0, 'w': 0.70811388439741}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 901384853}, 'frame_id': 'leg3link5'}, 'child_frame_id': 'leg3link6', 'transform': {'translation': {'x': 0.12633, 'y': 0.0, 'z': 0.42742}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': 0.7074061959010722, 'w': 0.7068072396352304}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 901384853}, 'frame_id': 'leg3link6'}, 'child_frame_id': 'leg3link7', 'transform': {'translation': {'x': 0.0, 'y': 0.12032, 'z': 0.072384}, 'rotation': {'x': 0.0, 'y': -0.7067767416586953, 'z': 0.0, 'w': 0.7074366667414956}}}","{'header': {'stamp': {'secs': 1734091250, 'nsecs': 901384853}, 'frame_id': 'leg3link7'}, 'child_frame_id': 'leg3link8', 'transform': {'translation': {'x': 0.0, 'y': 0.029477, 'z': 0.15419}, 'rotation': {'x': 0.0, 'y': 0.0, 'z': -0.00027389647901567465, 'w': 0.9999999624903587}}}"
